Year,NUTS 3 Region,SectorAgg,GVA,PersonsAtWork,Productivity
2000,Border,Agriculture & Fishing,332.11,18.57,17884.22186322025
2000,Border,Arts & Other Services,102.07,5.83,17507.71869639794
2000,Border,Distribution & Hospitality,713.26,28.57,24965.34826741337
2000,Border,Industry,1822.87,42.230000000000004,43165.285342173804
2000,Border,Knowledge & Professional Services,699.27,11.82,59159.89847715736
2000,Border,Public Services,892.07,25.27,35301.54333201425
2000,Dublin,Agriculture & Fishing,84.99,3.37,25219.58456973294
2000,Dublin,Arts & Other Services,926.27,28.49,32512.109512109513
2000,Dublin,Distribution & Hospitality,7451.2,168.34,44262.80147320898
2000,Dublin,Industry,9858.59,121.56,81100.60875287924
2000,Dublin,Knowledge & Professional Services,19222.760000000002,176.0,109220.2272727273
2000,Dublin,Public Services,4960.59,123.54,40153.715395823216
2000,Ireland,Agriculture & Fishing,2717.73,129.32,21015.542839467988
2000,Ireland,Arts & Other Services,2069.66,82.27,25156.92232891698
2000,Ireland,Distribution & Hospitality,16825.36,449.53,37428.781171445735
2000,Ireland,Industry,34177.45,481.43,70991.52524769955
2000,Ireland,Knowledge & Professional Services,28076.78,306.06,91736.19551721885
2000,Ireland,Public Services,12854.77,323.43,39745.138051510374
2000,Mid-East,Agriculture & Fishing,351.72,13.08,26889.908256880735
2000,Mid-East,Arts & Other Services,303.24,10.94,27718.464351005485
2000,Mid-East,Distribution & Hospitality,1515.27,47.22,32089.580686149937
2000,Mid-East,Industry,4685.33,65.80000000000001,71205.62310030393
2000,Mid-East,Knowledge & Professional Services,1647.9,21.05,78285.03562945368
2000,Mid-East,Public Services,1083.99,32.72,33129.278728606354
2000,Mid-West,Agriculture & Fishing,431.73,19.95,21640.601503759397
2000,Mid-West,Arts & Other Services,159.33,8.56,18613.317757009347
2000,Mid-West,Distribution & Hospitality,1200.16,45.77,26221.542495084115
2000,Mid-West,Industry,3601.5,58.949999999999996,61094.14758269721
2000,Mid-West,Knowledge & Professional Services,1286.52,23.06,55790.11274934952
2000,Mid-West,Public Services,1207.79,30.84,39163.09987029831
2000,Midlands,Agriculture & Fishing,185.8,8.87,20947.012401352877
2000,Midlands,Arts & Other Services,74.61,2.93,25464.163822525596
2000,Midlands,Distribution & Hospitality,655.03,18.69,35047.08400214018
2000,Midlands,Industry,1299.44,25.82,50326.87838884586
2000,Midlands,Knowledge & Professional Services,511.41,7.38,69296.74796747968
2000,Midlands,Public Services,630.43,15.06,41861.221779548476
2000,South-East,Agriculture & Fishing,406.42,17.63,23052.750992626206
2000,South-East,Arts & Other Services,135.33,7.15,18927.272727272728
2000,South-East,Distribution & Hospitality,990.67,39.06,25362.775217613926
2000,South-East,Industry,2475.06,42.56,58154.60526315789
2000,South-East,Knowledge & Professional Services,856.16,13.96,61329.51289398281
2000,South-East,Public Services,919.12,24.96,36823.717948717946
2000,South-West,Agriculture & Fishing,681.12,22.83,29834.42838370565
2000,South-West,Arts & Other Services,231.93,11.98,19359.766277128547
2000,South-West,Distribution & Hospitality,3230.98,66.38,48673.99819222657
2000,South-West,Industry,7508.889999999999,79.78999999999999,94108.15891715755
2000,South-West,Knowledge & Professional Services,2499.91,35.63,70163.06483300589
2000,South-West,Public Services,1887.56,43.63,43262.892505157004
2000,West,Agriculture & Fishing,243.83,25.02,9745.403677058353
2000,West,Arts & Other Services,136.87,6.39,21419.40532081377
2000,West,Distribution & Hospitality,1068.78,35.5,30106.478873239437
2000,West,Industry,2925.76,44.72,65423.97137745975
2000,West,Knowledge & Professional Services,1352.83,17.19,78698.66201279814
2000,West,Public Services,1273.22,27.41,46450.93031740241
2001,Border,Agriculture & Fishing,297.59,18.83,15804.036112586298
2001,Border,Arts & Other Services,115.06,6.11,18831.423895253683
2001,Border,Distribution & Hospitality,711.76,30.68,23199.47848761408
2001,Border,Industry,2182.69,42.56,51285.009398496244
2001,Border,Knowledge & Professional Services,789.56,11.91,66293.87069689337
2001,Border,Public Services,1028.24,27.6,37255.07246376811
2001,Dublin,Agriculture & Fishing,76.21,2.51,30362.549800796813
